meeting_date,body,case,title
2020-06-24,Planning Commission,20-1779,Resolution for Continuity of Government
2020-06-18,Board of Architectural Review,BAR20-170,Resolution for Continuity of Government
2020-06-18,Board of Architectural Review,BAR20-169,374 Maple Ave W - Sunrise Senior Living - Exterior Modification (MAC)
2020-06-18,Board of Architectural Review,BAR20-168,223 Mill St NE - CubeSmart - Exterior Modification
2020-06-18,Board of Architectural Review,BAR20-167,260 Cedar Ln SE - Simply Social - Exterior Modification
2020-06-18,Board of Architectural Review,BAR20-166,235 Maple Ave E - Pizzaroni - Signs
2020-06-18,Board of Architectural Review,BAR20-165,203 Maple Ave W - Crumbl Cookies - Sign
2020-06-18,Board of Architectural Review,BAR20-164,502 Maple Ave W - Younger Image Plastic Surgery - Signs
2020-06-17,Board of Zoning Appeals,BZA-20036,800 Maple Ave E - Request for a Conditional Use Permit from § 18-13.c and § 18-210.O of the Town Code.
2020-06-17,Board of Zoning Appeals,BZA-20035,324 Nutley St NW - Request for a Conditional Use Permit from §18-210.G of the Town Code
2020-06-17,Board of Zoning Appeals,BZA-20034,315 Center St - Request for a Variance from §18-49 of the Town Code.
2020-06-17,Board of Zoning Appeals,BZA-20033,Resolution for Continuity of Government
2020-06-02,Windover Heights Board of Review,20-1739,Resolution for Continuity of Government
2020-06-02,Windover Heights Board of Review,20-1738,"Request for a of a Certificate of Appropriateness to construct a new single family dwelling on the property located at 303 Salsbury Ln NW, Docket No. WHBR-03-20, in the RS-16, single-family detached residential zoning district; filed by Kevin Krush, First Light Development LLC., project builder and owner."
2020-06-02,Windover Heights Board of Review,20-1737,"Request for a REVISION of a Certificate of Appropriateness to construct a new fence on the property located at 203 West Street NW, Docket No. WHBR-02-20, in the RS-16, single-family detached residential zoning district; filed by Kevin & Michelle White, owners."
2020-05-27,Planning Commission,PC20-101,Resolution for Continuity of Government
2020-05-27,Planning Commission,PC20-100,"Recommendation by the Planning Commission to the Town Council for continued use of two public use trailers for an additional two years, located at Louise Archer Elementary School at 324 Nutley Street NW, in the RS-12.5, Single-Family Detached Residential zone"
2020-05-27,Planning Commission,PC20-099,"Recommendation by the Planning Commission to the Board of Zoning Appeals for conditional use permit for continued placement of one (1) modular classroom, located at Louise Archer Elementary School at 324 Nutley Street NW, in the RS-12.5, Single-Family Detached Residential zone"
2020-05-27,Planning Commission,PC20-098,"Recommendation by the Planning Commission to the Town Council for a landscape plan associated with the proposed new self-storage building, located at 223-241 Mill Street NE, in the CM Limited Industrial zoning district"
2020-05-27,Planning Commission,PC20-097,"Recommendation by the Planning Commission to the Town Council for modification of requirement related to the size of the loading space, located at 223-241 Mill Street NE, in the CM Limited Industrial zoning district"
2020-05-27,Planning Commission,PC20-096,"Recommendation by the Planning Commission to the Town Council for the waiver of a masonry wall required at the rear of the proposed building, located at 223-241 Mill Street NE, in the CM Limited Industrial zoning district"
2020-05-27,Planning Commission,PC20-094,"Recommendation by the Planning Commission to the Board of Zoning Appeals for an amendment to an existing conditional use permit to construct an addition to the existing clubhouse at Westwood Country Club, on property located at 800 Maple Avenue East, in the RS-16, Single-Family Residential zoning district. Application filed by Patrick M. Via, Esq., attorney representative with Rees Broome, PC on behalf of Westwood Country Club."
2020-05-21,Board of Architectural Review,BAR20-163,BAR - Resolution for Continuity of Government
2020-05-21,Board of Architectural Review,BAR20-162,127 Center St S - Town Hall - Exterior Modification
2020-05-21,Board of Architectural Review,BAR20-161,215 Center St S - New Police Station - Exterior Modifications
2020-05-21,Board of Architectural Review,BAR20-160,235 Maple Ave E - Pizzaroni - Signage
2020-05-21,Board of Architectural Review,BAR20-159,203 Maple Ave E - Crumbl Cookies - Signage
2020-05-21,Board of Architectural Review,BAR20-158,124 Maple Ave W - Viva Sol Juice Co. - Signage
2020-05-21,Board of Architectural Review,BAR20-157,207 Maple Ave E - South Block Juice - Signage
2020-05-21,Board of Architectural Review,BAR20-156,139 Church St NW - Sam;s Studio - Signage
2020-05-21,Board of Architectural Review,BAR20-155,200 Maple Ave E - Mobile Gas - Signage
2020-05-21,Board of Architectural Review,BAR20-154,538 Maple Ave W - Chick-fil-A - Signage
2020-05-21,Board of Architectural Review,BAR20-153,540 Maple Ave W - Flagship Carwash - Screening
2020-05-20,Board of Zoning Appeals,BZA-20032,Resolution for Continuity of Government
2020-05-20,Board of Zoning Appeals,BZA-20031,215 Center St S - 114 Locust St SW - Request for a conditional use permit for a new public building (new police station).
2020-05-13,Planning Commission,PC20-092,"ITEM DEFERRED TO FUTURE MEETING - Recommendation by the Planning Commission to the Board of Zoning Appeals for an amendment to an existing conditional use permit to construct an addition to the existing clubhouse at Westwood Country Club, on property located at 800 Maple Avenue East, in the RS-16, Single-Family Residential zoning district. Application filed by Patrick M. Via, Esq., attorney representative with Rees Broome, PC on behalf of Westwood Country Club."
2020-05-13,Planning Commission,PC20-091,"Recommendation by the Planning Commission to the Town Council for requested modifications of requirements related to lot coverage, parking, and location of a masonry wall, located at 215 
Center Street South and 114 Locust Street SW, in the RM-2 Multifamily, Low Density and RS-10 Single-Family Detached Residential zoning districts."
2020-05-13,Planning Commission,PC20-090,"Recommendation by the Planning Commission to the Board of Zoning Appeals for conditional use permits for a new public building (police station), located at 215 Center Street South and 114 Locust Street SW, in the RM-2 Multifamily, Low Density and RS-10 Single-Family Detached Residential zoning districts"
2020-05-13,Planning Commission,PC20-089,Public hearing for “2232 Review” of proposed police Station to determine if Proposed Public building is substantially in accord with the Comprehensive Plan
2020-05-13,Planning Commission,20-1694,Resolution for Continuity of Government
2020-05-13,Planning Commission,20-1682,Public Hearing to Repeal the Maple Avenue Commercial (MAC) Zone
2020-05-13,Planning Commission,20-1681,"Public Hearing to Extend the Temporary Suspension of the Maple Avenue Commercial (MAC) Zone, set to expire June 30, 2020, to June 30, 2022"
2020-05-12,Windover Heights Board of Review,20-1697,Resolution for Continuity of Government
2020-05-12,Windover Heights Board of Review,20-1695,"Request for a Certificate of Appropriateness to construct a new fence on the property located at 203 West Street NW, Docket No. WHBR-02-20, in the RS-16, single-family detached residential zoning district; filed by Kevin & Michelle White, owners."
2020-03-19,Board of Architectural Review,BAR20-152,203 Maple Ave E - Crumbl Cookie - Sign and Awning
2020-03-19,Board of Architectural Review,BAR20-151,124 Maple Ave W - Viva Sol Juice Co - Sign
2020-03-19,Board of Architectural Review,BAR20-150,207 Maple Ave E - South Block Juice - Sign
2020-03-19,Board of Architectural Review,BAR20-149,139 Church St NW - Sam’s Studio - Signs
2020-03-19,Board of Architectural Review,BAR20-148,200 Maple Ave E - Mobile Gas - Signs
2020-03-19,Board of Architectural Review,BAR20-147,540 Maple Ave W - Flagship Carwash - Screening
2020-03-03,Windover Heights Board of Review,20-1622,"Request for revision to a Certificate of Appropriateness for a new single family detached residential dwelling on the property located at 222 Lovers Lane NW, Docket No. WHBR-03-19, in the RS-16, single-family detached residential zoning district; filed by 222 Lovers Land, LLC, Inc., owner, and JDA Custom Homes, Inc., builder."
2020-02-26,Planning Commission,PC20-088,"Recommendation by the Planning Commission to the Board of Zoning Appeals on request for conditional use permit for live entertainment for Hawk & Griffin Public House, located at 405-409 Maple Avenue West in the C-1 zone.
AND
Recommendation by the Planning Commission to the Town Council on related request for modification of requirement to allow parking between the building setback line and the street line in the C-1 zone, for the property located at 405-409 Maple Avenue West."
2020-02-20,Board of Architectural Review,BAR20-146,820 Follin Ln SE - Navy Federal Credit Union - Exterior Modification
2020-02-20,Board of Architectural Review,BAR20-145,414 Maple Ave E - Banfield Pet Hospital - Signs
2020-02-19,Board of Zoning Appeals,BZA-20030,BZA Work Session - Discussion on Family Day Homes
2020-02-19,Board of Zoning Appeals,BZA-20029,206 Scott Circle SW - Fairfax County Circuit Court remand to BZA for clarification as to its findings and grounds for denial of variance.
2020-02-19,Board of Zoning Appeals,BZA-20028,211 Center St N - Request for approval of a Variance
2020-02-12,Planning Commission Work Session,PCWS20-039,"Work Session on New Police Department Headquarters, located at 215 Center Street South and 114 Locust Street SW"
2020-02-12,Planning Commission,PC20-087,Continuation of Consideration of 2019 Annual Report
2020-01-22,Windover Heights Board of Review,19-1522,"Request for a Revision to a  Certificate of Appropriateness for the exterior modification (second floor addition, front porch, and new siding, paint and windows) of the property located at 344 Orchard Street NW, Docket No. 02-19-WHBR, in the RS-16, single-family detached residential zoning district; filed by Swaroop Parekh & Naveena Sompalli, home owners."
2020-01-16,Board of Architectural Review,BAR20-144,"This agenda item will be deferred to a later meeting date, to be determined.  540 Maple Ave W - Flagship Car Wash - Exterior Modification"
2020-01-16,Board of Architectural Review,BAR20-143,521 Maple Ave W - Molly’s Yogurt - Exterior Modification
2020-01-16,Board of Architectural Review,BAR20-142,302 Maple Ave W - Cindy Nail Spa - Sign
2020-01-16,Board of Architectural Review,BAR20-141,303A Mill St - LB Food Market - Sign
2020-01-08,Planning Commission,PC19-085,Consideration of 2019 Annual Report
2020-01-08,Planning Commission,PC19-083,"Recommendation to the Town Council for proposed amendments to the Town of Vienna Comprehensive Plan for Town-owned properties located at 114 Locust Street SW and 440 Beulah Road NE, specifically amending the Future Land Use Plan (page 38) and Community Facilities and Services chapter (pages 98-99)."
2020-01-07,Board of Architectural Review Work Session,BARWS19-037,211 Mill St NE - Mill Street Development - Cube Smart Self Storage
2019-12-19,Board of Architectural Review,BAR19-140,374-380 Maple Ave W - Sunrise of Vienna - Exterior Modifications - MAC (Article 13.1)
2019-12-19,Board of Architectural Review,BAR19-139,502 Maple Ave W - Younger Image Plastic Surgery - Sign
2019-12-19,Board of Architectural Review,BAR19-138,308 Dominion Rd NE - Med Spa - Sign
2019-12-19,Board of Architectural Review,BAR19-137,405 (401-409) Maple Ave E - Kochin Kitchen Indian Dinning - Sign
2019-12-18,Board of Zoning Appeals,BZA-19027,374 to 380 Maple Ave W - Assisted Living CUP (Maple Ave Commercial zone)
2019-12-11,Planning Commission,PC19-082,"Recommendation by the Planning Commission to the Town Council on a proposed amendment to proffered conditions for Sunrise of Vienna, a mixed-use building with ground floor restaurant and 85 unit assisted living facility, located at 374 to 380 Maple Avenue West, in Maple Avenue Commercial (MAC) Zone.

AND

Recommendation by The Planning Commission to the Town Council on related request for modifications of requirements.

AND

Recommendation by the Planning Commission to the Board of Zoning Appeals on related request for conditional use permit for assisted living in Maple Avenue Commercial (MAC) Zone."
2019-12-03,Windover Heights Board of Review,19-1522,"Request for a Revision to a  Certificate of Appropriateness for the exterior modification (second floor addition, front porch, and new siding, paint and windows) of the property located at 344 Orchard Street NW, Docket No. 02-19-WHBR, in the RS-16, single-family detached residential zoning district; filed by Swaroop Parekh & Naveena Sompalli, home owners."
2019-11-21,Board of Architectural Review,BAR19-135,359 Maple Ave E - Landscape Revision
2019-11-21,Board of Architectural Review,BAR19-134,303A Mill St NE - Wall Sign
2019-11-21,Board of Architectural Review,BAR19-133,112 Pleasant St NW - Wall Sign
2019-11-21,Board of Architectural Review,BAR19-132,214 Dominion Rd NE - Window Sign
2019-11-21,Board of Architectural Review,BAR19-131,126 Shepherdson Ln NE - Exterior Modification
2019-11-13,Planning Commission Work Session,PCWS19-038,Proposed proffer amendment and conditional use permit for Sunrise @ 380 Maple Ave W
2019-11-08,Board of Architectural Review Work Session,BARWS19-036,380 Maple Ave W - Sunrise
2019-11-05,Windover Heights Board of Review,19-1490,"Request for a Certificate of Appropriateness for installation of rear enclosed screened porch and new exterior paint color, at the property located at 127 Lewis Street NW, Docket No. 04-19-WHBR, in the RS-12.5, single-family detached residential zoning district; filed by Cathy LeGore, Project Coordinator at Design Builders Inc., on behalf of  Jason Levine and Tracy Schampers, property owners."
2019-11-01,Board of Architectural Review Work Session,BARWS19-035,245 Maple Ave W - Vienna Market - BAR Recommendation to Town Council
2019-10-30,Planning Commission,19-1481,"Public hearing to extend the temporary suspension of the Maple Avenue Commercial (MAC) Zone, set to expire on November 15, 2019, to June 30, 2020."
2019-10-17,Board of Architectural Review,BAR19-130,901 Follin Ln SE - Exterior Modification - Canopy
2019-10-17,Board of Architectural Review,BAR19-129,403 Maple Ave E - Sign - Replacement Façade Sign Panel
2019-10-17,Board of Architectural Review,BAR19-128,709 Hunter Ct SW - Exterior Modification - Fence
2019-10-16,Board of Zoning Appeals,BZA-19026,108 Yeonas Cir SE - Conditional Use Permit
2019-10-16,Board of Zoning Appeals,BZA-19025,124 Melody Ln SW - Continuance for an appeal of a zoning violation
2019-09-27,Board of Architectural Review Work Session,BARWS19-034,215 Center St S. - Vienna Police Department
2019-09-25,Planning Commission,PC19-081,Amend Planning Commission Bylaws
2019-09-25,Planning Commission,PC19-080,Recommendation to the Board of Zoning Appeals for approval of renewal of a conditional use permit for a Family Day Home of maximum ten (10) children.
2019-09-19,Board of Architectural Review,BAR19-127,544 Maple Ave W - McDonalds - Sign
2019-09-19,Board of Architectural Review,BAR19-126,513 Maple Ave W - Sherri Studios - Sign
2019-09-19,Board of Architectural Review,BAR19-125,419-B Maple Ave E - ABC Store - Sign
2019-09-19,Board of Architectural Review,BAR19-124,395 Maple Ave E - Exxon - Sign
2019-09-19,Board of Architectural Review,BAR19-123,112 Pleasant St SW - Bellini Salon & Gerrish MedEsthetics - Sign
2019-09-19,Board of Architectural Review,BAR19-122,245 Maple Ave W - Vienna Market
2019-09-18,Board of Zoning Appeals,BZA-19024,111 Church St NW - Blend 111 - Conditional Use Permit - Live Music
2019-08-28,Planning Commission Work Session,PCWS19-036,"Work session with Colette C Trohan of A Great Meeting, Inc. for Robert’s Rules of Order overview"
2019-08-15,Board of Architectural Review,BAR19-121,245 Maple Avenue West - Vienna Market
2019-08-15,Board of Architectural Review,BAR19-120,711 Hunter Ct SW - Exterior modifications - Fence
2019-08-15,Board of Architectural Review,BAR19-119,703 Hunter Court SW - Exterior Modifications - Solar Panels
2019-08-15,Board of Architectural Review,BAR19-118,1009 Moorefield Hill Grove SW - Exterior Modifications - Solar Panels
2019-08-15,Board of Architectural Review,BAR19-117,515 Maple Avenue West - Soleil Nail Spa - Signage
2019-08-14,Planning Commission,PC19-079,"Recommendation to the Board of Zoning Appeals for a Conditional Use Permit for live entertainment in a restaurant located at 111 Church Street NW, in the C-1B Pedestrian Commercial Zone."
2019-08-02,Board of Architectural Review Work Session,BARWS19-033,245 Maple Ave W - Vienna Market
2019-07-18,Board of Architectural Review,BAR19-115,260-280 Cedar Ln SE - Cedar Shopping Center - Exterior Modification Revision
2019-07-18,Board of Architectural Review,BAR19-114,820 Follin Ln SE - Navy Federal Credit Union - Monument Sign
2019-07-18,Board of Architectural Review,BAR19-113,1007 Electric Ave SE - Navy Federal Credit Union - Sign Revision
2019-07-18,Board of Architectural Review,BAR19-112,126B Branch Rd SE - Chi-Mc Korean Fried Chicken - Sign
2019-07-18,Board of Architectural Review,BAR19-111,301 Maple Ave W - Generations Wealth Management - Sign
2019-07-18,Board of Architectural Review,BAR19-110,144 Maple Ave W - Loyal Companion - Sign
2019-07-18,Board of Architectural Review,BAR19-109,414 Maple Ave E - KIN Properties - Revision
2019-07-18,Board of Architectural Review,BAR19-108,121 Maple Ave W - Jolie Hair Salon Studio - Revision
2019-07-17,Board of Zoning Appeals,BZA-19023,206 Scott Cir SW - Request for a variance
2019-07-17,Board of Zoning Appeals,BZA-19022,303A Mill St NE - Revocation of a Conditional Use Permit
2019-07-17,Board of Zoning Appeals,BZA-19021,414 Maple Ave E - Request for approval of a Conditional Use Permit
2019-07-17,Board of Zoning Appeals,BZA-19020,919 Ware St SW - Continuance for approval of a variance
2019-07-17,Board of Zoning Appeals,BZA-19019,124 Melody Ln SW - Continuance for an appeal of a zoning violation
2019-07-12,Board of Architectural Review Work Session,BARWS19-032,223 Mill St SE - Cube Smart Self-Storage
2019-06-28,Board of Architectural Review Work Session,BARWS19-031,245 Maple Ave W- Vienna Market
2019-06-20,Board of Architectural Review,BAR19-107,133 Maple Ave E - Bear Branch Tavern - Exterior Modification / Sign
2019-06-20,Board of Architectural Review,BAR19-106,517 Maple Ave W - Maple Tailoring - Canopy
2019-06-20,Board of Architectural Review,BAR19-105,234 Maple Ave E - Shin Se Kai Ramen  - Sign
2019-06-14,Board of Architectural Review Work Session,BARWS19-029,245 Maple Avenue West- Vienna Market
2019-06-12,Planning Commission,PC19-078,"Recommendation to the Board of Zoning Appeals for a conditional use permit to establish an animal hospital at a commercial tenant space located at 414 Maple Avenue East, in the C-1 Local Commercial zone."
2019-06-12,Planning Commission,PC19-077,Final Plat for Addition to the Katrina Hine Echols Division
2019-06-07,Board of Architectural Review Work Session,BARWS19-028,133 Maple Ave E - Bear Branch Tavern
2019-06-05,Board of Zoning Appeals,BZA-19018,124 Melody Ln SW - Continuance: request for an appeal of a zoning violation
2019-06-05,Board of Zoning Appeals,BZA-19017,133 Maple Avenue East - Conditional Use Permits - Bear Branch Tavern - Case No. PF-18-19-SP/CUP
2019-06-05,Board of Zoning Appeals,BZA-19016,305 Jade Court NW - Conditional Use Permit - Case No. PF-25-19-CUP
2019-05-24,Board of Architectural Review Work Session,BARWS19-027,245 Maple Ave W - Vienna Market
2019-05-22,Planning Commission,PC19-076,"Continued - Sunrise Assisted Living Rezoning and Site Plan Modifications

Recommendation by the Planning Commission to the Town Council on a proposed rezoning for Sunrise Assisted Living mixed-use building with ground floor retail and senior assisted living facility, located at 100 to 112 Maple Avenue East, from the C-2 General Commercial Zone and C-1A Special Commercial Zone to MAC Maple Avenue Commercial Zone. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc.

AND 

Recommendation by the Planning Commission to the Town Council on a request for site plan modifications of requirements 
* 15 foot wide loading space, a reduction of 38 feet from the required 53 foot wide loading space
* 12 bike spaces, a reduction of 15 spaces from the required 27 bike spaces
* Proposed fence to be 8 feet in height, 2 feet greater that the maximum height of 6 feet
* Building awnings to extend 6 feet from the building face, an increase of 3 feet to the maximum 3 feet permitted.
Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc."
2019-05-22,Planning Commission,PC19-075,"Recommendation to the Board of Zoning Appeals for a conditional use permit to establish a family day home care of up to twelve (12) children on property located at 305 Jade Court NW, in the RS-12.5, single-family detached residential zone."
2019-05-16,Board of Architectural Review,BAR19-104,128 Maple Ave E - Sundown & Rise Up
2019-05-16,Board of Architectural Review,BAR19-103,118 Park St SE - Potomac Appalachian Trail Club
2019-05-16,Board of Architectural Review,BAR19-102,360 Maple Ave W Unit F - Dr. Goldberg & Associates
2019-05-16,Board of Architectural Review,BAR19-101,362 Maple Ave E - Starbucks
2019-05-15,Board of Zoning Appeals,BZA-19015,"100 to 112 Maple Avenue East - Sunrise Assisted Living - Conditional Use Permit for Assisted Living, as part of a proposed rezoning from the C-2 General Commercial Zone and C-1A Special Commercial Zone to MAC Maple Avenue Commercial Zone. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc."
2019-05-15,Board of Zoning Appeals,BZA-19011,124 Melody Ln SW - Appeal to a Zoning Violation
2019-05-10,Board of Architectural Review Work Session,BARWS19-026,"This work session will be rescheduled for a future date:
245 Maple Ave W (239 Maple Ave W) - Vienna Market"
2019-05-08,Planning Commission,PC19-072,"Recommendation by the Planning Commission to the Board of Zoning Appeals for conditional use permits for outdoor dining and live entertainment for a restaurant use, located at 133 Maple Avenue East, in the C-2 General Commercial and RM-2 Multifamily, Low Density zoning districts. Application filed by Adam Lubar of Speakeasy Restaurants LLC."
2019-05-08,Planning Commission,PC19-071,"Continued Public Hearing - Sunrise Assisted Living Rezoning, Site Plan Modifications and Conditional Use Permit

Recommendation by the Planning Commission to the Town Council on a proposed rezoning for Sunrise Assisted Living mixed-use building with ground floor retail and senior assisted living facility, located at 100 to 112 Maple Avenue East, from the C-2 General Commercial Zone and C-1A Special Commercial Zone to MAC Maple Avenue Commercial Zone. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc.

AND 

Recommendation by the Planning Commission to the Town Council on a request for site plan modifications of requirements 
·	15 foot wide loading space, a reduction of 38 feet from the required 53 foot wide loading space
·	7 bike spaces, a reduction of 20 spaces from the required 27 bike spaces
·	Proposed fence to be 8 feet in height, 2 feet greater that the maximum height of 6 feet
·	Building awnings to extend 6 feet from the building face, an increase of 3 feet to the maximum 3 feet permitted.
Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc.

AND 

Recommendation by the Planning Commission to the Board of Zoning Appeals on a request for a conditional use permit to allow an assisted living facility for seniors per Section 18-95.5.J. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc."
2019-04-26,Board of Architectural Review Work Session,BARWS19-025,215 Center St S. - Town of Vienna Police Station - Dewberry
2019-04-24,Planning Commission,PC19-070,"Recommendation by the Planning Commission to the Town Council on a proposed rezoning for Sunrise Assisted Living mixed-use building with ground floor retail and senior assisted living facility, located at 100 to 112 Maple Avenue East, from the C-2 General Commercial Zone and C-1A Special Commercial Zone to MAC Maple Avenue Commercial Zone. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc.

AND 

Recommendation by the Planning Commission to the Town Council on a request for site plan modifications of requirements 
·	15 foot wide loading space, a reduction of 38 feet from the required 53 foot wide loading space
·	7 bike spaces, a reduction of 20 spaces from the required 27 bike spaces
·	Proposed fence to be 8 feet in height, 2 feet greater that the maximum height of 6 feet
·	Building awnings to extend 6 feet from the building face, an increase of 3 feet to the maximum 3 feet permitted.
Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc.

AND 

Recommendation by the Planning Commission to the Board of Zoning Appeals on a request for a conditional use permit to allow an assisted living facility for seniors per Section 18-95.5.J. Application filed by Sara Mariska of Womble Bond Dickinson on behalf of Sunrise Development Inc."
2019-04-24,Planning Commission,PC19-068,"Recommendation by the Planning Commission to the Town Council to extend the temporary suspension of the Maple Avenue Commercial (MAC) Zone, set to expire on June 27, 2019, to November 15, 2019"
2019-04-18,Board of Architectural Review,BAR19-100,245 Maple Ave W - Vienna Market
2019-04-18,Board of Architectural Review,BAR19-099,374 Maple Ave E - Eagle Contractors
2019-04-18,Board of Architectural Review,BAR19-098,465 Maple Ave W - Wawa
2019-04-18,Board of Architectural Review,BAR19-097,374 Maple Ave E - McEnearney Associates Realtors
2019-04-18,Board of Architectural Review,BAR19-096,360 Maple Ave W Unit F - Dr. Goldberg & Associates
2019-04-17,Board of Zoning Appeals,BZA-19009,608 Kearney Ct SW - Variance - Lot Coverage
2019-04-10,Planning Commission,PC19-065,"Recommendation by the Planning Commission to the Town Council on a proposed rezoning for 380 Maple, a mixed-use building with ground floor retail and multi-family residential condominium units, located at 374 to 380 Maple Avenue West, in the C-1 Local Commercial and RS-16 Single-Family Detached Residential zoning districts (Requested zoning is Maple Avenue Commercial (MAC))

AND

Recommendation by the Planning Commission to the Town Council On Related Requests for modifications of requirements"
2019-03-27,Planning Commission,PC19-064,Draft Meeting & Work Session Minutes for Review
2019-03-27,Planning Commission,PC19-063,"Recommendation by the Planning Commission to the Town Council on a proposed rezoning for 380 Maple, a mixed-use building with ground floor retail and multi-family residential condominium units, located at 374 to 380 Maple Avenue West, in the C-1 Local Commercial and RS-16 Single-Family Detached Residential zoning districts (Requested zoning is Maple Avenue Commercial (MAC))

AND

Recommendation by the Planning Commission to the Town Council On Related Requests for modifications of requirements"
2019-03-27,Planning Commission,PC19-062,Consideration of Adoption of Planning Commission Bylaws and Rules of Procedure
2019-03-21,Board of Architectural Review,BAR19-095,260-280 Cedar Ln SE (131 Patrick St SE) - Cedar Park Shopping Center
2019-03-21,Board of Architectural Review,BAR19-094,235 Maple Ave W - Bank of America
2019-03-21,Board of Architectural Review,BAR19-093,418 Maple Ave E - Bank of America
2019-03-21,Board of Architectural Review,BAR19-092,328 Maple Ave E - Mathnasium
2019-03-21,Board of Architectural Review,BAR19-091,320 Maple Ave E Unit D - New York School of Arts
2019-03-21,Board of Architectural Review,BAR19-090,360 Maple Ave W Unit F - Dr. Goldberg & Associates
2019-03-21,Board of Architectural Review,BAR19-089,211 Maple Ave E - AT&T
2019-03-13,Planning Commission Work Session,PCWS19-033,Review and Discuss Proposed Draft Amendments to the Maple Avenue Commercial (MAC) Zone Regulations
2019-02-27,Planning Commission Work Session,PCWS19-032,Review and Discuss Proposed Draft Amendments to the Maple Avenue Commercial (MAC) Zone Regulations
2019-02-21,Board of Architectural Review,BAR19-088,100-112 Maple Ave E - Sunrise Assisted Living - Maple Avenue Commercial (MAC)
2019-02-21,Board of Architectural Review,BAR19-087,465 Maple Ave W - Wawa Convenience Store - Exterior Modification and Signs
2019-02-21,Board of Architectural Review,BAR19-086,362 Maple Ave E - Starbucks - Exterior Modification (Revision)
2019-02-21,Board of Architectural Review,BAR19-085,121 Maple Ave W - Jolie Hair Studio 2 - Exterior Modification and Signs
2019-02-21,Board of Architectural Review,BAR19-084,132 Branch Rd SE - Zenola Restaurant - Sign
2019-02-21,Board of Architectural Review,BAR19-083,235 Maple Ave E - Keiko Charcoal Chicken - Sign
2019-02-20,Planning Commission Work Session,19-1153,Update on process to Develop Design Guidelines and Amendments to the MAC Zone Regulations.
2019-02-15,Board of Architectural Review Work Session,BARWS19-023,Review of the Preliminary Draft of the Design Guidelines for Maple Avenue Commercial (MAC) Zone
2019-02-13,Planning Commission Work Session,PCWS19-027,Work Session Reviewing Draft of Planning Commission Bylaws and Rules of Procedure
2019-02-13,Planning Commission Work Session,PCWS19-026,Work session to discuss 380 Maple mixed-use MAC rezoning application
2019-02-13,Planning Commission Work Session,19-1162,"Update on process to Develop Design Guidelines and Amendments to the Maple Avenue Commercial (MAC) Zone Regulations
*Special Meeting/Work Session will be held on February 20th to discuss in detail"
2019-02-08,Board of Architectural Review Work Session,BARWS19-022,Review Design Guidelines for Maple Avenue Commercial (MAC) Zone - rescheduled to Friday 2/15/19 at 8:00 am
2019-02-01,Board of Architectural Review Work Session,BARWS19-021,465 Maple Ave W - Wawa Convenience Store
2019-01-23,Planning Commission Work Session,PCWS19-025,Work Session Reviewing Draft of Planning Commission Bylaws and Rules of Procedure
2019-01-17,Board of Architectural Review,BAR19-082,380 Maple Ave W - MAC Rezoning
2019-01-17,Board of Architectural Review,BAR19-081,625 Marshall Rd SW - Vienna Aquatic Club
2019-01-17,Board of Architectural Review,BAR19-080,127 Maple Ave W - Orange Theory Fitness
2019-01-17,Board of Architectural Review,BAR19-079,425 Maple Ave E - The Tailor Shop
2019-01-17,Board of Architectural Review,BAR19-078,142 Maple Ave W - Tea DM Mini
2019-01-11,Board of Architectural Review Work Session,BARWS19-020,100-102 Maple Ave E - Sunrise of Vienna
2019-01-09,Planning Commission,PC18-061,Election of Officers for Planning Commission
2019-01-09,Planning Commission,PC18-060,Resolution for participation of Planning Commissioners through electronic communication during public meetings
2018-12-20,Board of Architectural Review,BAR18-077,260-280 Cedar Ln SE (131 Patrick St SE) - Cedar Park Shopping Center - Exterior Modifications
2018-12-20,Board of Architectural Review,BAR18-076,234 Maple Ave E - Shin Se Kai Ramen - Exterior Modifications
2018-12-20,Board of Architectural Review,BAR18-075,127 Maple Ave W - Orange Theory Fitness - Window Graphic
2018-12-20,Board of Architectural Review,BAR18-074,414 Maple Ave E - KIN Properties - Façade Renovation
2018-12-20,Board of Architectural Review,BAR18-073,233 Maple Ave E - Elite Tutoring Place - Façade Sign
2018-12-20,Board of Architectural Review,BAR18-072,307 Maple Ave W - NOVA Dental Care - Façade Sign
2018-12-20,Board of Architectural Review,BAR18-071,307 Maple Ave W - SOS Ortho - Façade Sign
2018-12-14,Board of Architectural Review Work Session,BARWS18-019,"374-380 Maple Ave W - MAC Rezoning Application for 4 story mixed use building with 40 residential units and 7,500 square feet of ground floor retail.  Applicant: Red Investment LLC and MJW Maple LLC"
2018-12-07,Board of Architectural Review Work Session,BARWS18-018,465 Maple Ave W - Wawa Convenience Store
